gene	Z_rank
IRX1	1385
ZBTB22	1386
POM121C	1387
AGAP7	1388
NUP210L	1389
CKAP5	1390
GATA6	1391
C1QL1	1392
PRPF19	1393
ICAM2	1394
HIPK1	1395
HIST2H2AA3	1396
HIST2H2AA4	1397
KPNA3	1398
CLDN3	1399
PRAMEF10	1400
CCDC101	1401
ARFGEF2	1402
WNT3A	1403
JARID2	1404
PTGER4	1405
PBRM1	1406
ASCC3	1407
NLGN4Y	1408
CCAR1	1409
PRPF38A	1410
XPR1	1411
FAM120A	1412
FAM83E	1413
OTP	1414
PHYHIP	1415
GLS	1416
CDK5	1417
IQGAP1	1418
DDX19A	1419
PLK2	1420
ACHE	1421
RUNX1	1422
LONP2	1423
USP31	1424
FBXW7	1425
SLC30A1	1426
PTPN6	1427
ADRA1D	1428
SARS	1429
TRIM27	1430
CACNG7	1431
FAM49B	1432
DLL4	1433
FOXA2	1434
PPP1CC	1435
CDKN2A	1436
DEDD2	1437
MAGEA2B	1438
MAGEA2	1439
SEPT5	1440
TRPC3	1441
PPIP5K2	1442
WBSCR16	1443
FST	1444
TRHDE	1445
PSME4	1446
ADAM10	1447
NOSIP	1448
BICD2	1449
AVPR1A	1450
HOXD3	1451
FRMD4A	1452
DUSP6	1453
C17orf59	1454
GRM2	1455
LRRC37A3	1456
ZNF324B	1457
ITGAL	1458
STRBP	1459
WWP1	1460
CD163	1461
SLC7A1	1462
SLC38A3	1463
AP1M1	1464
ZNF821	1465
SPHK2	1466
ZNF423	1467
MAP3K5	1468
CLIP2	1469
DGKD	1470
TUBGCP4	1471
NPR3	1472
B3GAT2	1473
CKB	1474
JUNB	1475
KLHL22	1476
PPP2R5D	1477
E2F3	1478
MLLT1	1479
GSTT2B	1480
MATK	1481
IPO13	1482
PPP3CA	1483
CPSF4	1484
WBP11	1485
RNF31	1486
EN1	1487
ANAPC5	1488
RDH10	1489
USP48	1490
CSNK1G2	1491
SUV39H1	1492
MSN	1493
CRKL	1494
GNAI2	1495
KBTBD7	1496
HDAC1	1497
ADCY6	1498
NAA30	1499
KCNT2	1500
CHST13	1501
RBBP4	1502
WDR26	1503
ADAM11	1504
CS	1505
HOXA3	1506
KIAA1244	1507
CHST5	1508
KCNH7	1509
WDR5	1510
PARP14	1511
SLC25A29	1512
BOLA2	1513
BOLA2B	1514
SCAF1	1515
PHACTR1	1516
USP15	1517
IQSEC1	1518
JPH2	1519
ESR1	1520
GPR61	1521
RHOXF2B	1522
RHOXF2	1523
SF3A3	1524
SPTLC2	1525
RAP2B	1526
PLCE1	1527
L1CAM	1528
BTK	1529
ZNF831	1530
ASUN	1531
ENC1	1532
PTPRF	1533
HIST1H3B	1534
CKMT1A	1535
HIST3H2A	1536
DIDO1	1537
USP47	1538
AGPAT1	1539
PRKCA	1540
CAMTA1	1541
XKR7	1542
ANKHD1-EIF4EBP3	1543
PCDHB6	1544
GABRA1	1545
COPS2	1546
IQSEC3	1547
ADAMTS10	1548
CACNG4	1549
TANC2	1550
GPR27	1551
DUSP8	1552
FZR1	1553
AKT2	1554
PAN2	1555
SMCHD1	1556
CGB	1557
CGB5	1558
GABRD	1559
SLC9A2	1560
GLYR1	1561
ANKRD13B	1562
HNRNPM	1563
KLF4	1564
TAOK3	1565
ACTR3B	1566
TFAP4	1567
ATP6V0A1	1568
GSK3A	1569
MAGEE1	1570
ABI2	1571
ARMC5	1572
TAF2	1573
GABRA4	1574
EMX1	1575
GTPBP1	1576
ZXDB	1577
MFSD4	1578
MYO15A	1579
PITX2	1580
ARID5B	1581
MSC	1582
MESDC1	1583
PLK1	1584
PHC1	1585
FBXL7	1586
MAP2K1	1587
FMNL1	1588
CBWD5	1589
RPS6KA2	1590
HBA1	1591
PABPC1L2B	1592
PABPC1L2A	1593
EML1	1594
RASD2	1595
PRPF40A	1596
RNF38	1597
ANKIB1	1598
JAKMIP1	1599
FBXO11	1600
PSMA7	1601
TBL1XR1	1602
PHF2	1603
GNAQ	1604
OR2T35	1605
NGFR	1606
OLFM2	1607
NUDT21	1608
ARF6	1609
MLNR	1610
KCNH1	1611
GRIA2	1612
IDH3G	1613
CDC23	1614
CLK3	1615
H3F3B	1616
LHX9	1617
ZNF524	1618
ANKHD1	1619
NBEAL2	1620
ZFP36L2	1621
WDR70	1622
AP1B1	1623
TFAP2D	1624
ATG16L1	1625
TOR4A	1626
TRIM73	1627
TRIM74	1628
GABRA5	1629
NPAS1	1630
PDE4D	1631
ASAP1	1632
IGF1R	1633
HLA-DRB5	1634
ZNF148	1635
KHDRBS1	1636
JPH1	1637
PQBP1	1638
RFWD2	1639
KIF11	1640
FAT3	1641
AP2A2	1642
PCDH1	1643
CSNK2A2	1644
NCSTN	1645
NRBP1	1646
DOCK6	1647
RALGAPB	1648
WNT7A	1649
MAEA	1650
RQCD1	1651
DPP6	1652
CDH6	1653
HLA-DQB1	1654
IPO9	1655
HLA-DRB1	1656
XPO6	1657
KDM5B	1658
NFIC	1659
LGALS7	1660
PSMD11	1661
GTF2IRD1	1662
ABHD8	1663
NONO	1664
ZMIZ2	1665
ELAVL3	1666
TGFB2	1667
PCDHGB2	1668
KCTD12	1669
PCDHGC4	1670
